,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,2 Years to < 3 Years,,160,133,10,0,0,17,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,206,180,24,3,6,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,117,82,33,0,1,2,0,0,0,0,0,0,0,0,0
CTHH-TX1 Hartford Hospital,All Center States,All Time,,454,389,52,0,0,16,0,0,0,0,0,0,0,0,0
,,< 30 Days,,23,15,5,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,34,31,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,56,43,13,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,73,62,11,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,128,108,13,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,64,57,5,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,39,37,1,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,37,36,1,0,0,0,0,0,0,0,0,0,0,0,0
,Connecticut,All Time,,454,389,52,0,0,16,0,0,0,0,0,0,0,0,0
,,< 30 Days,,23,15,5,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,34,31,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,56,43,13,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,73,62,11,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,128,108,13,0,0,7,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,64,57,5,0,0,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,39,37,1,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,37,36,1,0,0,0,0,0,0,0,0,0,0,0,0
CTYN-TX1 Yale New Haven Hospital,All Center States,All Time,,772,607,133,2,1,43,0,0,0,0,0,0,0,0,0
,,< 30 Days,,20,6,6,0,0,9,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,19,8,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,64,44,11,0,0,10,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,131,103,17,0,0,13,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,163,130,32,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,92,71,21,0,0,2,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,139,120,19,1,0,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,134,114,19,1,1,0,0,0,0,0,0,0,0,0,0
,Connecticut,All Time,,772,607,133,2,1,43,0,0,0,0,0,0,0,0,0
,,< 30 Days,,20,6,6,0,0,9,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,19,8,0,0,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,64,44,11,0,0,10,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,131,103,17,0,0,13,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,163,130,32,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,92,71,21,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,139,120,19,1,0,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,134,114,19,1,1,0,0,0,0,0,0,0,0,0,0
DCCH-TX1 Children's National Medical Center,All Center States,All Time,,28,25,0,0,0,3,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,District of Columbia,All Time,,28,25,0,0,0,3,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,All Center States,All Time,,"1,012",746,241,24,42,0,0,0,16,0,0,0,0,0,0
,,< 30 Days,,39,29,8,2,4,0,0,0,1,0,0,0,0,0,0
,,30 to < 90 Days,,42,26,8,4,3,0,0,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,81,59,19,2,6,0,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,137,89,42,3,5,0,0,0,4,0,0,0,0,0,0
,,1 Year to < 2 Years,,296,230,55,5,20,0,0,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,158,127,31,0,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,157,113,42,7,0,0,0,0,3,0,0,0,0,0,0
,,5 or More Years,,107,73,36,1,1,0,0,0,1,0,0,0,0,0,0
,District of Columbia,All Time,,"1,012",746,241,24,42,0,0,0,16,0,0,0,0,0,0
,,< 30 Days,,39,29,8,2,4,0,0,0,1,0,0,0,0,0,0
,,30 to < 90 Days,,42,26,8,4,3,0,0,0,3,0,0,0,0,0,0
,,
,,90 Days to < 6 Months,,81,59,19,2,6,0,0,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,137,89,42,3,5,0,0,0,4,0,0,0,0,0,0
,,1 Year to < 2 Years,,296,230,55,5,20,0,0,0,2,0,0,0,0,0,0
,,2 Years to < 3 Years,,158,127,31,0,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,157,113,42,7,0,0,0,0,3,0,0,0,0,0,0
,,5 or More Years,,107,73,36,1,1,0,0,0,1,0,0,0,0,0,0
DCGW-TX1 George Washington University Hospital,All Center States,All Time,,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,District of Columbia,All Time,,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
DCWH-TX1 Washington Hospital Center,All Center States,All Time,,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,District of Columbia,All Time,,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
DCWR-TX1 Walter Reed National Military Medical Center at Bethesda,All Center States,All Time,,235,231,0,4,0,0,0,0,0,0,0,0,0,0,0
,,
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,39,35,0,4,0,0,0,0,0,0,0,0,0,0,0
,District of Columbia,All Time,,235,231,0,4,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,39,35,0,4,0,0,0,0,0,0,0,0,0,0,0
DEAI-TX1 Alfred I duPont Hospital for Children,All Center States,All Time,,17,12,5,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Delaware,All Time,,17,12,5,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DECC-TX1 Christiana Care Health Services,All Center States,All Time,,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,Delaware,All Time,,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,< 30 Days,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
FLAC-TX1 Johns Hopkins All Children's Hospital,All Center States,All Time,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Florida,All Time,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLBC-TX1 Broward Health Medical Center,All Center States,All Time,,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FLBF-TX1 Bert Fish Medical Center,All Center States,All Time,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,All Center States,All Time,,931,865,57,0,0,10,0,0,0,0,0,0,0,0,0
,,< 30 Days,,42,35,5,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,46,39,6,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,102,92,9,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,121,105,15,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,287,274,10,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,182,173,8,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,122,118,3,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0
,,
,Florida,All Time,,931,865,57,0,0,10,0,0,0,0,0,0,0,0,0
,,< 30 Days,,42,35,5,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,46,39,6,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,102,92,9,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,121,105,15,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,287,274,10,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,182,173,8,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,122,118,3,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,All Center States,All Time,,483,407,63,1,7,9,1,0,0,0,0,0,0,0,0
,,< 30 Days,,24,15,5,0,2,3,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,24,7,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,66,46,18,1,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,69,54,14,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,128,116,9,0,1,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,76,69,5,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,43,39,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,45,44,1,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,483,407,63,1,7,9,1,0,0,0,0,0,0,0,0
,,< 30 Days,,24,15,5,0,2,3,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,32,24,7,0,0,1,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,66,46,18,1,3,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,69,54,14,0,1,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,128,116,9,0,1,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,76,69,5,0,0,2,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,43,39,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,45,44,1,0,0,0,0,0,0,0,0,0,0,0,0
FLHM-TX1 Halifax Medical Center,All Center States,All Time,,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,2 Years to < 3 Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJD-TX1 Memorial Regional Hospital/Joe DiMaggio Children's Hospital,All Center States,All Time,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,Florida,All Time,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,All Center States,All Time,,771,614,103,17,18,40,10,0,20,2,0,0,0,0,0
,,< 30 Days,,47,26,19,1,1,0,3,0,2,0,0,0,0,0,0
,,30 to < 90 Days,,42,31,12,3,1,2,1,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,59,32,17,1,5,0,3,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,130,97,19,5,3,8,0,0,7,1,0,0,0,0,0
,,1 Year to < 2 Years,,174,141,19,4,3,11,2,0,3,0,0,0,0,0,0
,,2 Years to < 3 Years,,126,111,6,2,2,7,1,0,2,1,0,0,0,0,0
,,3 Years to < 5 Years,,108,95,6,1,2,9,0,0,1,0,0,0,0,0,0
,,5 or More Years,,89,81,5,0,1,3,0,0,0,0,0,0,0,0,0
,Florida,All Time,,771,614,103,17,18,40,10,0,20,2,0,0,0,0,0
,,< 30 Days,,47,26,19,1,1,0,3,0,2,0,0,0,0,0,0
,,30 to < 90 Days,,42,31,12,3,1,2,1,0,3,0,0,0,0,0,0
,,90 Days to < 6 Months,,59,32,17,1,5,0,3,0,2,0,0,0,0,0,0
,,6 Months to < 1 Year,,130,97,19,5,3,8,0,0,7,1,0,0,0,0,0
,,1 Year to < 2 Years,,174,141,19,4,3,11,2,0,3,0,0,0,0,0,0
,,2 Years to < 3 Years,,126,111,6,2,2,7,1,0,2,1,0,0,0,0,0
,,3 Years to < 5 Years,,108,95,6,1,2,9,0,0,1,0,0,0,0,0,0
,,5 or More Years,,89,81,5,0,1,3,0,0,0,0,0,0,0,0,0
FLLM-TX1 Largo Medical Center,All Center States,All Time,,81,62,19,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,14,4,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,32,23,10,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,14,11,4,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,81,62,19,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,17,14,4,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,32,23,10,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,14,11,4,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,All Center States,All Time,,97,84,0,0,0,13,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,18,15,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,37,31,0,0,0,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,97,84,0,0,0,13,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,18,15,0,0,0,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,21,20,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,37,31,0,0,0,6,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FLSH-TX1 Ascension Sacred Heart Pensacola,All Center States,All Time,,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida,All Time,,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0
FLSL-TX1 Mayo Clinic Florida,All Center States,All Time,,987,842,70,8,23,34,20,1,0,0,0,0,0,0,0
,,< 30 Days,,69,45,12,1,2,8,4,0,0,0,0,0,0,0,0
