Center,Center_Code,Center_Name,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,1,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,2,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,6,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,0,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,2,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,2,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,1,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,8,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,8,2,0.0,1,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,9,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,3,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,0,0,0.0,0,1
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,5,1,0.0,1,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,4,0,0.0,1,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,3,1,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,17,3,1.0,0,1
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,4,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,9,0,1.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,7,1,0.0,1,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,1,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,3,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,1,0,0.0,0,1
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,2,0,0.0,0,0
FLSL-TX1 Mayo Clinic Florida,FLSL-TX1,Mayo Clinic Florida,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,835,119,0.0,17,26
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,0,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,3,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,805,116,0.0,17,26
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,4,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,0,1,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,2,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,3,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,0,1,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,9,1,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,2,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLTG-TX1 Tampa General Hospital,FLTG-TX1,Tampa General Hospital,1,0,0.0,0,0
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,521,33,1.0,12,65
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,2,0,0.0,0,0
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,464,32,1.0,12,63
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,52,0,0.0,0,1
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,0,0,0.0,0,0
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,0,1,0.0,0,0
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,0,0,0.0,0,1
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,2,0,0.0,0,0
FLUF-TX1 UF Health Shands Hospital,FLUF-TX1,UF Health Shands Hospital,1,0,0.0,0,0
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,GAEH-TX1,Children's Healthcare of Atlanta at Egleston,42,9,0.0,0,5
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,GAEH-TX1,Children's Healthcare of Atlanta at Egleston,0,1,0.0,0,0
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,GAEH-TX1,Children's Healthcare of Atlanta at Egleston,41,5,0.0,0,5
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,GAEH-TX1,Children's Healthcare of Atlanta at Egleston,1,0,0.0,0,0
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,GAEH-TX1,Children's Healthcare of Atlanta at Egleston,0,3,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,"2,022",145,2.0,10,66
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,84,6,0.0,0,2
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,16,3,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,"1,809",127,2.0,8,62
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,5,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,2,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,3,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,16,2,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,1,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,46,2,0.0,0,2
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,4,0,0.0,0,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,28,4,0.0,2,0
GAEM-TX1 Emory University Hospital,GAEM-TX1,Emory University Hospital,3,1,0.0,0,0
"GAMC-TX1 AU Medical Center, Inc.",GAMC-TX1,"AU Medical Center, Inc.",662,0,1.0,10,0
"GAMC-TX1 AU Medical Center, Inc.",GAMC-TX1,"AU Medical Center, Inc.",1,0,0.0,0,0
"GAMC-TX1 AU Medical Center, Inc.",GAMC-TX1,"AU Medical Center, Inc.",2,0,0.0,0,0
"GAMC-TX1 AU Medical Center, Inc.",GAMC-TX1,"AU Medical Center, Inc.",323,0,0.0,5,0
"GAMC-TX1 AU Medical Center, Inc.",GAMC-TX1,"AU Medical Center, Inc.",336,0,1.0,5,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,"1,302",178,2.0,15,19
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,109,4,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,1,0,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,"1,158",165,2.0,15,18
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,0,1,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,2,1,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,1,0,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,2,2,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,0,1,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,11,3,0.0,0,1
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,3,0,0.0,0,0
GAPH-TX1 Piedmont Hospital,GAPH-TX1,Piedmont Hospital,15,1,0.0,0,0
HIQM-TX1 The Queen's Medical Center,HIQM-TX1,The Queen's Medical Center,326,22,0.0,0,0
HIQM-TX1 The Queen's Medical Center,HIQM-TX1,The Queen's Medical Center,1,0,0.0,0,0
HIQM-TX1 The Queen's Medical Center,HIQM-TX1,The Queen's Medical Center,318,22,0.0,0,0
HIQM-TX1 The Queen's Medical Center,HIQM-TX1,The Queen's Medical Center,7,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,96,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,2,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,1,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,2,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,3,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,82,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,1,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,3,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,1,0,0.0,0,0
IAIM-TX1 Iowa Methodist Medical Center,IAIM-TX1,Iowa Methodist Medical Center,1,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,274,35,0.0,10,23
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,0,0.0,1,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,0,0,0.0,1,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,46,8,0.0,3,2
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,218,25,0.0,5,21
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,0,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,4,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,1,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,0,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,0,0.0,0,0
IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,IAIV-TX1,University of Iowa Hospitals and Clinics Transplant Programs,1,1,0.0,0,0
IAMH-TX1 MercyOne Des Moines Transplant Center,IAMH-TX1,MercyOne Des Moines Transplant Center,8,0,2.0,4,0
IAMH-TX1 MercyOne Des Moines Transplant Center,IAMH-TX1,MercyOne Des Moines Transplant Center,7,0,2.0,4,0
IAMH-TX1 MercyOne Des Moines Transplant Center,IAMH-TX1,MercyOne Des Moines Transplant Center,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,134,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,2,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,2,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,11,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,22,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,6,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,15,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,8,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,3,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,7,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,5,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,6,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,3,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,8,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,2,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,6,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,9,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,1,0,0.0,0,0
IAVA-TX1 The Iowa City VA Health Care System,IAVA-TX1,The Iowa City VA Health Care System,8,0,0.0,0,0
ILCH-TX1 Advocate Christ Medical Center,ILCH-TX1,Advocate Christ Medical Center,246,0,0.0,0,55
ILCH-TX1 Advocate Christ Medical Center,ILCH-TX1,Advocate Christ Medical Center,1,0,0.0,0,0
ILCH-TX1 Advocate Christ Medical Center,ILCH-TX1,Advocate Christ Medical Center,235,0,0.0,0,52
ILCH-TX1 Advocate Christ Medical Center,ILCH-TX1,Advocate Christ Medical Center,10,0,0.0,0,2
ILCH-TX1 Advocate Christ Medical Center,ILCH-TX1,Advocate Christ Medical Center,0,0,0.0,0,1
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,46,6,0.0,0,32
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,45,6,0.0,0,28
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,1,0,0.0,0,2
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,0,0,0.0,0,0
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,0,0,0.0,0,1
ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,ILCM-TX1,Ann & Robert H. Lurie Children's Hospital of Chicago,0,0,0.0,0,1
ILEH-TX1 Evanston Hospital,ILEH-TX1,Evanston Hospital,0,0,0.0,0,13
ILEH-TX1 Evanston Hospital,ILEH-TX1,Evanston Hospital,0,0,0.0,0,11
ILEH-TX1 Evanston Hospital,ILEH-TX1,Evanston Hospital,0,0,0.0,0,1
ILEH-TX1 Evanston Hospital,ILEH-TX1,Evanston Hospital,0,0,0.0,0,1
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,358,50,6.0,14,29
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,1,0,0.0,0,0
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,350,50,6.0,14,28
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,4,0,0.0,0,0
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,1,0,0.0,0,0
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,1,0,0.0,0,0
ILLU-TX1 Loyola University Medical Center,ILLU-TX1,Loyola University Medical Center,1,0,0.0,0,1
ILMM-TX1 Memorial Medical Center,ILMM-TX1,Memorial Medical Center,91,0,0.0,0,0
ILMM-TX1 Memorial Medical Center,ILMM-TX1,Memorial Medical Center,91,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,862,70,13.0,33,41
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,800,62,12.0,31,40
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,47,5,1.0,2,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,0,0,0.0,0,1
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,3,3,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,1,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,0,0,0.0,0,0
ILNM-TX1 Northwestern Memorial Hospital,ILNM-TX1,Northwestern Memorial Hospital,4,0,0.0,0,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,400,19,20.0,16,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,1,0,0.0,0,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,385,19,20.0,16,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,12,0,0.0,0,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,1,0,0.0,0,0
ILPL-TX1 Rush University Medical Center,ILPL-TX1,Rush University Medical Center,1,0,0.0,0,0
ILSF-TX1 OSF Saint Francis Medical Center,ILSF-TX1,OSF Saint Francis Medical Center,287,0,2.0,7,3
ILSF-TX1 OSF Saint Francis Medical Center,ILSF-TX1,OSF Saint Francis Medical Center,285,0,2.0,6,3
ILSF-TX1 OSF Saint Francis Medical Center,ILSF-TX1,OSF Saint Francis Medical Center,2,0,0.0,1,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,502,37,21.0,7,14
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,0.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,0.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,431,29,9.0,6,11
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,57,8,2.0,0,3
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,0,0,1.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,2,0,2.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,1.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,0.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,3,0,0.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,0,0,3.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,0.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,1,0,0.0,1,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,0,0,3.0,0,0
ILUC-TX1 University of Chicago Medical Center,ILUC-TX1,University of Chicago Medical Center,3,0,0.0,0,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,549,62,2.0,12,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,1,0,0.0,0,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,519,61,1.0,11,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,24,1,0.0,1,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,1,0,0.0,0,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,1,0,0.0,0,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,1,0,0.0,0,0
ILUI-TX1 University of Illinois Medical Center,ILUI-TX1,University of Illinois Medical Center,2,0,1.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,22,0,0.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,12,0,0.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,2,0,0.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,1,0,0.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,1,0,0.0,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,ILVA-TX1,Edward Hines Jr. Veterans Administration Medical Center,6,0,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,639,86,19.0,19,25
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,1,0,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,0,0,1.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,1,0,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,0,2,2.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,18,3,3.0,1,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,557,75,8.0,17,24
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,5,1,1.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,2,1,1.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,1,0,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,1,0,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,6,1,1.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,0,1,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,43,0,1.0,1,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,3,0,0.0,0,1
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,1,1,0.0,0,0
INIM-TX1 Indiana University Health,INIM-TX1,Indiana University Health,0,1,1.0,0,0
INLH-TX1 Lutheran Hospital of Fort Wayne,INLH-TX1,Lutheran Hospital of Fort Wayne,27,0,0.0,0,4
INLH-TX1 Lutheran Hospital of Fort Wayne,INLH-TX1,Lutheran Hospital of Fort Wayne,26,0,0.0,0,4
INLH-TX1 Lutheran Hospital of Fort Wayne,INLH-TX1,Lutheran Hospital of Fort Wayne,1,0,0.0,0,0
INSV-TX1 Ascension St. Vincent Hospital,INSV-TX1,Ascension St. Vincent Hospital,201,0,0.0,0,55
