Center,Center_Code,Center_Name,States,Time_Waited,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,All Time,"1,930",502,21.0,6,28
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,< 30 Days,39,19,0.0,0,6
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,30 to < 90 Days,86,34,0.0,0,4
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,90 Days to < 6 Months,116,53,1.0,0,4
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,6 Months to < 1 Year,179,83,2.0,1,4
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,1 Year to < 2 Years,370,132,2.0,0,2
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,2 Years to < 3 Years,302,45,3.0,3,3
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,3 Years to < 5 Years,512,74,4.0,2,4
CAUC-TX1 University of California at Los Angeles Medical Center,CAUC-TX1,University of California at Los Angeles Medical Center,California,5 or More Years,326,62,9.0,0,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,All Time,"1,400",242,1.0,4,19
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,< 30 Days,25,14,0.0,0,3
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,30 to < 90 Days,60,12,0.0,0,5
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,90 Days to < 6 Months,99,39,0.0,0,7
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,6 Months to < 1 Year,163,36,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,1 Year to < 2 Years,337,40,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,2 Years to < 3 Years,245,25,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,3 Years to < 5 Years,202,33,1.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,All Center States,5 or More Years,269,43,0.0,0,0
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,All Time,"1,400",242,1.0,4,19
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,< 30 Days,25,14,0.0,0,3
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,30 to < 90 Days,60,12,0.0,0,5
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,90 Days to < 6 Months,99,39,0.0,0,7
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,6 Months to < 1 Year,163,36,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,1 Year to < 2 Years,337,40,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,2 Years to < 3 Years,245,25,0.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,3 Years to < 5 Years,202,33,1.0,1,1
CAUH-TX1 Keck Hospital of USC,CAUH-TX1,Keck Hospital of USC,California,5 or More Years,269,43,0.0,0,0
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,All Time,27,4,0.0,0,11
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,< 30 Days,2,2,0.0,0,1
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,30 to < 90 Days,4,1,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,90 Days to < 6 Months,10,1,0.0,0,0
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,6 Months to < 1 Year,6,0,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,1 Year to < 2 Years,4,0,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,2 Years to < 3 Years,1,0,0.0,0,0
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,All Center States,3 Years to < 5 Years,0,0,0.0,0,1
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,All Time,27,4,0.0,0,11
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,< 30 Days,2,2,0.0,0,1
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,30 to < 90 Days,4,1,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,30 to < 90 Days,4,1,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,90 Days to < 6 Months,10,1,0.0,0,0
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,6 Months to < 1 Year,6,0,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,1 Year to < 2 Years,4,0,0.0,0,3
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,2 Years to < 3 Years,1,0,0.0,0,0
COCH-TX1 Children's Hospital Colorado,COCH-TX1,Children's Hospital Colorado,Colorado,3 Years to < 5 Years,0,0,0.0,0,1
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,All Time,115,17,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,< 30 Days,11,4,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,30 to < 90 Days,26,4,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,90 Days to < 6 Months,31,3,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,6 Months to < 1 Year,17,1,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,1 Year to < 2 Years,3,2,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,3 Years to < 5 Years,19,3,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,All Center States,5 or More Years,8,0,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,All Time,115,17,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,< 30 Days,11,4,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,30 to < 90 Days,26,4,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,90 Days to < 6 Months,31,3,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,6 Months to < 1 Year,17,1,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,1 Year to < 2 Years,3,2,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,3 Years to < 5 Years,19,3,0.0,0,0
COPM-TX1 Centura Transplant,COPM-TX1,Centura Transplant,Colorado,5 or More Years,8,0,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,All Time,349,68,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,< 30 Days,7,11,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,30 to < 90 Days,12,8,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,90 Days to < 6 Months,17,10,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,6 Months to < 1 Year,29,14,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,1 Year to < 2 Years,77,14,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,2 Years to < 3 Years,54,8,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,3 Years to < 5 Years,78,2,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,All Center States,5 or More Years,75,1,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,All Time,349,68,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,< 30 Days,7,11,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,30 to < 90 Days,12,8,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,90 Days to < 6 Months,17,10,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,6 Months to < 1 Year,29,14,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,1 Year to < 2 Years,77,14,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,2 Years to < 3 Years,54,8,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,3 Years to < 5 Years,78,2,0.0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,COSL-TX1,Presbyterian/St Luke's Medical Center,Colorado,5 or More Years,75,1,0.0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,All Time,849,114,12.0,24,48
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,< 30 Days,27,11,0.0,1,0
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,< 30 Days,27,11,0.0,1,0
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,30 to < 90 Days,27,7,4.0,3,1
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,90 Days to < 6 Months,74,7,0.0,1,4
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,6 Months to < 1 Year,101,11,3.0,7,7
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,1 Year to < 2 Years,225,11,2.0,5,15
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,2 Years to < 3 Years,133,10,0.0,0,17
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,3 Years to < 5 Years,180,24,3.0,6,2
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,All Center States,5 or More Years,82,33,0.0,1,2
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,All Time,849,114,12.0,24,48
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,< 30 Days,27,11,0.0,1,0
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,30 to < 90 Days,27,7,4.0,3,1
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,90 Days to < 6 Months,74,7,0.0,1,4
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,6 Months to < 1 Year,101,11,3.0,7,7
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,1 Year to < 2 Years,225,11,2.0,5,15
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,2 Years to < 3 Years,133,10,0.0,0,17
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,3 Years to < 5 Years,180,24,3.0,6,2
COUC-TX1 University of Colorado Hospital/Health Science Center,COUC-TX1,University of Colorado Hospital/Health Science Center,Colorado,5 or More Years,82,33,0.0,1,2
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,All Time,389,52,0.0,0,16
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,< 30 Days,15,5,0.0,0,3
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,30 to < 90 Days,31,3,0.0,0,0
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,90 Days to < 6 Months,43,13,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,6 Months to < 1 Year,62,11,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,1 Year to < 2 Years,108,13,0.0,0,7
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,2 Years to < 3 Years,57,5,0.0,0,3
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,3 Years to < 5 Years,37,1,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,All Center States,5 or More Years,36,1,0.0,0,0
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,All Time,389,52,0.0,0,16
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,< 30 Days,15,5,0.0,0,3
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,30 to < 90 Days,31,3,0.0,0,0
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,90 Days to < 6 Months,43,13,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,6 Months to < 1 Year,62,11,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,1 Year to < 2 Years,108,13,0.0,0,7
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,2 Years to < 3 Years,57,5,0.0,0,3
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,3 Years to < 5 Years,37,1,0.0,0,1
CTHH-TX1 Hartford Hospital,CTHH-TX1,Hartford Hospital,Connecticut,5 or More Years,36,1,0.0,0,0
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,All Time,607,133,2.0,1,43
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,< 30 Days,6,6,0.0,0,9
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,30 to < 90 Days,19,8,0.0,0,5
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,90 Days to < 6 Months,44,11,0.0,0,10
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,6 Months to < 1 Year,103,17,0.0,0,13
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,1 Year to < 2 Years,130,32,0.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,2 Years to < 3 Years,71,21,0.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,2 Years to < 3 Years,71,21,0.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,3 Years to < 5 Years,120,19,1.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,All Center States,5 or More Years,114,19,1.0,1,0
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,All Time,607,133,2.0,1,43
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,< 30 Days,6,6,0.0,0,9
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,30 to < 90 Days,19,8,0.0,0,5
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,90 Days to < 6 Months,44,11,0.0,0,10
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,6 Months to < 1 Year,103,17,0.0,0,13
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,1 Year to < 2 Years,130,32,0.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,2 Years to < 3 Years,71,21,0.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,3 Years to < 5 Years,120,19,1.0,0,2
CTYN-TX1 Yale New Haven Hospital,CTYN-TX1,Yale New Haven Hospital,Connecticut,5 or More Years,114,19,1.0,1,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,All Time,25,0,0.0,0,3
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,< 30 Days,3,0,0.0,0,2
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,30 to < 90 Days,3,0,0.0,0,1
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,90 Days to < 6 Months,2,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,6 Months to < 1 Year,7,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,1 Year to < 2 Years,2,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,2 Years to < 3 Years,3,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,3 Years to < 5 Years,4,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,All Center States,5 or More Years,1,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,All Time,25,0,0.0,0,3
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,< 30 Days,3,0,0.0,0,2
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,30 to < 90 Days,3,0,0.0,0,1
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,90 Days to < 6 Months,2,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,6 Months to < 1 Year,7,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,1 Year to < 2 Years,2,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,2 Years to < 3 Years,3,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,3 Years to < 5 Years,4,0,0.0,0,0
DCCH-TX1 Children's National Medical Center,DCCH-TX1,Children's National Medical Center,District of Columbia,5 or More Years,1,0,0.0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,All Time,746,241,24.0,42,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,< 30 Days,29,8,2.0,4,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,30 to < 90 Days,26,8,4.0,3,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,90 Days to < 6 Months,59,19,2.0,6,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,6 Months to < 1 Year,89,42,3.0,5,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,1 Year to < 2 Years,230,55,5.0,20,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,2 Years to < 3 Years,127,31,0.0,3,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,3 Years to < 5 Years,113,42,7.0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,All Center States,5 or More Years,73,36,1.0,1,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,All Time,746,241,24.0,42,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,< 30 Days,29,8,2.0,4,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,30 to < 90 Days,26,8,4.0,3,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,30 to < 90 Days,26,8,4.0,3,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,90 Days to < 6 Months,59,19,2.0,6,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,6 Months to < 1 Year,89,42,3.0,5,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,1 Year to < 2 Years,230,55,5.0,20,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,2 Years to < 3 Years,127,31,0.0,3,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,3 Years to < 5 Years,113,42,7.0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,DCGU-TX1,Medstar Georgetown Transplant Institute,District of Columbia,5 or More Years,73,36,1.0,1,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,All Time,270,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,< 30 Days,7,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,30 to < 90 Days,15,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,90 Days to < 6 Months,12,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,6 Months to < 1 Year,36,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,1 Year to < 2 Years,67,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,2 Years to < 3 Years,57,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,3 Years to < 5 Years,59,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,All Center States,5 or More Years,17,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,All Time,270,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,< 30 Days,7,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,30 to < 90 Days,15,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,90 Days to < 6 Months,12,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,6 Months to < 1 Year,36,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,1 Year to < 2 Years,67,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,2 Years to < 3 Years,57,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,3 Years to < 5 Years,59,0,0.0,0,0
DCGW-TX1 George Washington University Hospital,DCGW-TX1,George Washington University Hospital,District of Columbia,5 or More Years,17,0,0.0,0,0
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,All Time,0,0,0.0,0,35
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,< 30 Days,0,0,0.0,0,2
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,30 to < 90 Days,0,0,0.0,0,4
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,90 Days to < 6 Months,0,0,0.0,0,1
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,6 Months to < 1 Year,0,0,0.0,0,7
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,1 Year to < 2 Years,0,0,0.0,0,11
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,2 Years to < 3 Years,0,0,0.0,0,6
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,All Center States,3 Years to < 5 Years,0,0,0.0,0,4
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,District of Columbia,All Time,0,0,0.0,0,35
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,District of Columbia,< 30 Days,0,0,0.0,0,2
DCWH-TX1 Washington Hospital Center,DCWH-TX1,Washington Hospital Center,District of Columbia,30 to < 90 Days,0,0,0.0,0,4
