,Center Name,Center States,Wait Time,Kidney,Liver,Pancreas,Heart
1569,IAMH-TX1 MercyOne Des Moines Transplant Center,Iowa,3 Years to < 5 Years,3,0,1.0,0
1570,IAMH-TX1 MercyOne Des Moines Transplant Center,Iowa,5 or More Years,4,0,0.0,0
1580,IAVA-TX1 The Iowa City VA Health Care System,Iowa,All Time,134,0,0.0,0
1581,IAVA-TX1 The Iowa City VA Health Care System,Iowa,< 30 Days,4,0,0.0,0
1582,IAVA-TX1 The Iowa City VA Health Care System,Iowa,30 to < 90 Days,11,0,0.0,0
1583,IAVA-TX1 The Iowa City VA Health Care System,Iowa,90 Days to < 6 Months,15,0,0.0,0
1584,IAVA-TX1 The Iowa City VA Health Care System,Iowa,6 Months to < 1 Year,13,0,0.0,0
1585,IAVA-TX1 The Iowa City VA Health Care System,Iowa,1 Year to < 2 Years,32,0,0.0,0
1586,IAVA-TX1 The Iowa City VA Health Care System,Iowa,2 Years to < 3 Years,24,0,0.0,0
1587,IAVA-TX1 The Iowa City VA Health Care System,Iowa,3 Years to < 5 Years,21,0,0.0,0
1588,IAVA-TX1 The Iowa City VA Health Care System,Iowa,5 or More Years,14,0,0.0,0
1599,ILCH-TX1 Advocate Christ Medical Center,Illinois,All Time,246,0,0.0,55
1600,ILCH-TX1 Advocate Christ Medical Center,Illinois,< 30 Days,6,0,0.0,3
1601,ILCH-TX1 Advocate Christ Medical Center,Illinois,30 to < 90 Days,7,0,0.0,5
1602,ILCH-TX1 Advocate Christ Medical Center,Illinois,90 Days to < 6 Months,9,0,0.0,1
1603,ILCH-TX1 Advocate Christ Medical Center,Illinois,6 Months to < 1 Year,33,0,0.0,9
1604,ILCH-TX1 Advocate Christ Medical Center,Illinois,1 Year to < 2 Years,70,0,0.0,16
1605,ILCH-TX1 Advocate Christ Medical Center,Illinois,2 Years to < 3 Years,33,0,0.0,13
1606,ILCH-TX1 Advocate Christ Medical Center,Illinois,3 Years to < 5 Years,36,0,0.0,6
1607,ILCH-TX1 Advocate Christ Medical Center,Illinois,5 or More Years,52,0,0.0,2
1617,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,All Time,46,6,0.0,32
1618,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,< 30 Days,4,1,0.0,1
1619,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,30 to < 90 Days,5,1,0.0,1
1620,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,90 Days to < 6 Months,6,2,0.0,5
1621,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,6 Months to < 1 Year,7,1,0.0,5
1622,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,1 Year to < 2 Years,13,0,0.0,8
1623,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,2 Years to < 3 Years,2,1,0.0,6
1624,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,3 Years to < 5 Years,6,0,0.0,6
1625,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,5 or More Years,3,0,0.0,0
1628,ILEH-TX1 Evanston Hospital,Illinois,All Time,0,0,0.0,13
1629,ILEH-TX1 Evanston Hospital,Illinois,5 or More Years,0,0,0.0,13
1640,ILLU-TX1 Loyola University Medical Center,Illinois,All Time,358,50,6.0,29
1641,ILLU-TX1 Loyola University Medical Center,Illinois,< 30 Days,25,6,2.0,2
1642,ILLU-TX1 Loyola University Medical Center,Illinois,30 to < 90 Days,16,3,0.0,5
1643,ILLU-TX1 Loyola University Medical Center,Illinois,90 Days to < 6 Months,45,5,0.0,4
1644,ILLU-TX1 Loyola University Medical Center,Illinois,6 Months to < 1 Year,56,4,1.0,1
1645,ILLU-TX1 Loyola University Medical Center,Illinois,1 Year to < 2 Years,97,8,2.0,6
1646,ILLU-TX1 Loyola University Medical Center,Illinois,2 Years to < 3 Years,63,9,1.0,2
1647,ILLU-TX1 Loyola University Medical Center,Illinois,3 Years to < 5 Years,45,10,0.0,7
1648,ILLU-TX1 Loyola University Medical Center,Illinois,5 or More Years,11,5,0.0,2
1658,ILMM-TX1 Memorial Medical Center,Illinois,All Time,91,0,0.0,0
1659,ILMM-TX1 Memorial Medical Center,Illinois,< 30 Days,5,0,0.0,0
1660,ILMM-TX1 Memorial Medical Center,Illinois,30 to < 90 Days,5,0,0.0,0
1661,ILMM-TX1 Memorial Medical Center,Illinois,90 Days to < 6 Months,4,0,0.0,0
1662,ILMM-TX1 Memorial Medical Center,Illinois,6 Months to < 1 Year,16,0,0.0,0
1663,ILMM-TX1 Memorial Medical Center,Illinois,1 Year to < 2 Years,28,0,0.0,0
1664,ILMM-TX1 Memorial Medical Center,Illinois,2 Years to < 3 Years,10,0,0.0,0
1665,ILMM-TX1 Memorial Medical Center,Illinois,3 Years to < 5 Years,13,0,0.0,0
1666,ILMM-TX1 Memorial Medical Center,Illinois,5 or More Years,10,0,0.0,0
1676,ILNM-TX1 Northwestern Memorial Hospital,Illinois,All Time,862,70,13.0,41
1677,ILNM-TX1 Northwestern Memorial Hospital,Illinois,< 30 Days,28,7,1.0,3
1678,ILNM-TX1 Northwestern Memorial Hospital,Illinois,30 to < 90 Days,49,10,1.0,6
1679,ILNM-TX1 Northwestern Memorial Hospital,Illinois,90 Days to < 6 Months,55,10,0.0,2
1681,ILNM-TX1 Northwestern Memorial Hospital,Illinois,6 Months to < 1 Year,149,15,0.0,3
1682,ILNM-TX1 Northwestern Memorial Hospital,Illinois,1 Year to < 2 Years,158,12,6.0,7
1683,ILNM-TX1 Northwestern Memorial Hospital,Illinois,2 Years to < 3 Years,100,3,1.0,7
1684,ILNM-TX1 Northwestern Memorial Hospital,Illinois,3 Years to < 5 Years,162,1,2.0,6
1685,ILNM-TX1 Northwestern Memorial Hospital,Illinois,5 or More Years,161,12,2.0,7
1695,ILPL-TX1 Rush University Medical Center,Illinois,All Time,400,19,20.0,0
1696,ILPL-TX1 Rush University Medical Center,Illinois,< 30 Days,27,4,2.0,0
1697,ILPL-TX1 Rush University Medical Center,Illinois,30 to < 90 Days,20,1,3.0,0
1698,ILPL-TX1 Rush University Medical Center,Illinois,90 Days to < 6 Months,36,3,3.0,0
1699,ILPL-TX1 Rush University Medical Center,Illinois,6 Months to < 1 Year,40,1,1.0,0
1700,ILPL-TX1 Rush University Medical Center,Illinois,1 Year to < 2 Years,108,4,8.0,0
1701,ILPL-TX1 Rush University Medical Center,Illinois,2 Years to < 3 Years,61,5,3.0,0
1702,ILPL-TX1 Rush University Medical Center,Illinois,3 Years to < 5 Years,65,0,0.0,0
1703,ILPL-TX1 Rush University Medical Center,Illinois,5 or More Years,43,1,0.0,0
1713,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,All Time,287,0,2.0,3
1714,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,< 30 Days,11,0,1.0,1
1715,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,30 to < 90 Days,17,0,0.0,0
1716,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,90 Days to < 6 Months,16,0,0.0,1
1717,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,6 Months to < 1 Year,38,0,1.0,1
1718,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,1 Year to < 2 Years,74,0,0.0,0
1719,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,2 Years to < 3 Years,50,0,0.0,0
1720,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,3 Years to < 5 Years,52,0,0.0,0
1721,ILSF-TX1 OSF Saint Francis Medical Center,Illinois,5 or More Years,29,0,0.0,0
1732,ILUC-TX1 University of Chicago Medical Center,Illinois,All Time,502,37,21.0,14
1733,ILUC-TX1 University of Chicago Medical Center,Illinois,< 30 Days,19,7,0.0,2
1734,ILUC-TX1 University of Chicago Medical Center,Illinois,30 to < 90 Days,18,8,1.0,2
1735,ILUC-TX1 University of Chicago Medical Center,Illinois,90 Days to < 6 Months,48,7,0.0,1
1736,ILUC-TX1 University of Chicago Medical Center,Illinois,6 Months to < 1 Year,58,6,1.0,1
1737,ILUC-TX1 University of Chicago Medical Center,Illinois,1 Year to < 2 Years,132,4,2.0,2
1738,ILUC-TX1 University of Chicago Medical Center,Illinois,2 Years to < 3 Years,54,2,2.0,2
1739,ILUC-TX1 University of Chicago Medical Center,Illinois,3 Years to < 5 Years,85,1,6.0,3
1740,ILUC-TX1 University of Chicago Medical Center,Illinois,5 or More Years,88,2,9.0,1
1750,ILUI-TX1 University of Illinois Medical Center,Illinois,All Time,549,62,2.0,0
1751,ILUI-TX1 University of Illinois Medical Center,Illinois,< 30 Days,29,4,0.0,0
1752,ILUI-TX1 University of Illinois Medical Center,Illinois,30 to < 90 Days,31,3,0.0,0
1753,ILUI-TX1 University of Illinois Medical Center,Illinois,90 Days to < 6 Months,70,9,0.0,0
1754,ILUI-TX1 University of Illinois Medical Center,Illinois,6 Months to < 1 Year,68,8,1.0,0
1755,ILUI-TX1 University of Illinois Medical Center,Illinois,1 Year to < 2 Years,138,13,1.0,0
1756,ILUI-TX1 University of Illinois Medical Center,Illinois,2 Years to < 3 Years,77,9,0.0,0
1757,ILUI-TX1 University of Illinois Medical Center,Illinois,3 Years to < 5 Years,75,14,0.0,0
1758,ILUI-TX1 University of Illinois Medical Center,Illinois,5 or More Years,61,2,0.0,0
1763,ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,Illinois,All Time,22,0,0.0,0
1765,ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,Illinois,< 30 Days,6,0,0.0,0
1766,ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,Illinois,30 to < 90 Days,14,0,0.0,0
1767,ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,Illinois,90 Days to < 6 Months,2,0,0.0,0
1777,INIM-TX1 Indiana University Health,Indiana,All Time,639,86,19.0,25
1778,INIM-TX1 Indiana University Health,Indiana,< 30 Days,42,12,1.0,1
1779,INIM-TX1 Indiana University Health,Indiana,30 to < 90 Days,47,13,2.0,5
1780,INIM-TX1 Indiana University Health,Indiana,90 Days to < 6 Months,59,11,3.0,4
1781,INIM-TX1 Indiana University Health,Indiana,6 Months to < 1 Year,73,26,4.0,2
1782,INIM-TX1 Indiana University Health,Indiana,1 Year to < 2 Years,161,16,5.0,6
1783,INIM-TX1 Indiana University Health,Indiana,2 Years to < 3 Years,111,4,3.0,4
1784,INIM-TX1 Indiana University Health,Indiana,3 Years to < 5 Years,87,2,1.0,2
1785,INIM-TX1 Indiana University Health,Indiana,5 or More Years,59,2,0.0,1
1794,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,All Time,27,0,0.0,4
1795,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,30 to < 90 Days,0,0,0.0,1
1796,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,90 Days to < 6 Months,0,0,0.0,1
1797,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,6 Months to < 1 Year,0,0,0.0,2
1798,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,1 Year to < 2 Years,9,0,0.0,0
1799,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,2 Years to < 3 Years,8,0,0.0,0
1800,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,3 Years to < 5 Years,7,0,0.0,0
1801,INLH-TX1 Lutheran Hospital of Fort Wayne,Indiana,5 or More Years,3,0,0.0,0
1812,INSV-TX1 Ascension St. Vincent Hospital,Indiana,All Time,201,0,0.0,55
1813,INSV-TX1 Ascension St. Vincent Hospital,Indiana,< 30 Days,7,0,0.0,2
1814,INSV-TX1 Ascension St. Vincent Hospital,Indiana,30 to < 90 Days,17,0,0.0,4
1815,INSV-TX1 Ascension St. Vincent Hospital,Indiana,90 Days to < 6 Months,18,0,0.0,9
1816,INSV-TX1 Ascension St. Vincent Hospital,Indiana,6 Months to < 1 Year,18,0,0.0,10
1817,INSV-TX1 Ascension St. Vincent Hospital,Indiana,1 Year to < 2 Years,63,0,0.0,17
1818,INSV-TX1 Ascension St. Vincent Hospital,Indiana,2 Years to < 3 Years,41,0,0.0,8
1819,INSV-TX1 Ascension St. Vincent Hospital,Indiana,3 Years to < 5 Years,25,0,0.0,5
1820,INSV-TX1 Ascension St. Vincent Hospital,Indiana,5 or More Years,12,0,0.0,0
1830,KSUK-TX1 University of Kansas Hospital,Kansas,All Time,287,103,0.0,18
1831,KSUK-TX1 University of Kansas Hospital,Kansas,< 30 Days,10,5,0.0,3
1832,KSUK-TX1 University of Kansas Hospital,Kansas,30 to < 90 Days,27,8,0.0,4
1833,KSUK-TX1 University of Kansas Hospital,Kansas,90 Days to < 6 Months,45,17,0.0,4
1834,KSUK-TX1 University of Kansas Hospital,Kansas,6 Months to < 1 Year,45,13,0.0,3
1835,KSUK-TX1 University of Kansas Hospital,Kansas,1 Year to < 2 Years,86,28,0.0,3
1836,KSUK-TX1 University of Kansas Hospital,Kansas,2 Years to < 3 Years,38,19,0.0,1
1837,KSUK-TX1 University of Kansas Hospital,Kansas,3 Years to < 5 Years,29,9,0.0,0
1838,KSUK-TX1 University of Kansas Hospital,Kansas,5 or More Years,7,4,0.0,0
1849,KYJH-TX1 Jewish Hospital,Kentucky,All Time,250,39,2.0,18
1850,KYJH-TX1 Jewish Hospital,Kentucky,< 30 Days,9,1,0.0,1
1851,KYJH-TX1 Jewish Hospital,Kentucky,30 to < 90 Days,18,3,0.0,2
1852,KYJH-TX1 Jewish Hospital,Kentucky,90 Days to < 6 Months,25,6,1.0,0
1853,KYJH-TX1 Jewish Hospital,Kentucky,6 Months to < 1 Year,46,6,1.0,8
1854,KYJH-TX1 Jewish Hospital,Kentucky,1 Year to < 2 Years,66,11,0.0,4
1855,KYJH-TX1 Jewish Hospital,Kentucky,2 Years to < 3 Years,39,5,0.0,2
1856,KYJH-TX1 Jewish Hospital,Kentucky,3 Years to < 5 Years,37,2,0.0,1
1857,KYJH-TX1 Jewish Hospital,Kentucky,5 or More Years,10,5,0.0,0
1865,KYKC-TX1 Norton Children's Hospital,Kentucky,All Time,5,0,0.0,6
1866,KYKC-TX1 Norton Children's Hospital,Kentucky,30 to < 90 Days,2,0,0.0,0
1867,KYKC-TX1 Norton Children's Hospital,Kentucky,90 Days to < 6 Months,0,0,0.0,2
1868,KYKC-TX1 Norton Children's Hospital,Kentucky,6 Months to < 1 Year,2,0,0.0,2
1869,KYKC-TX1 Norton Children's Hospital,Kentucky,1 Year to < 2 Years,1,0,0.0,0
1870,KYKC-TX1 Norton Children's Hospital,Kentucky,2 Years to < 3 Years,0,0,0.0,1
1871,KYKC-TX1 Norton Children's Hospital,Kentucky,3 Years to < 5 Years,0,0,0.0,1
1881,KYUK-TX1 University of Kentucky Medical Center,Kentucky,All Time,476,111,0.0,18
1882,KYUK-TX1 University of Kentucky Medical Center,Kentucky,< 30 Days,13,6,0.0,3
1883,KYUK-TX1 University of Kentucky Medical Center,Kentucky,30 to < 90 Days,36,11,0.0,3
1884,KYUK-TX1 University of Kentucky Medical Center,Kentucky,90 Days to < 6 Months,60,10,0.0,1
1885,KYUK-TX1 University of Kentucky Medical Center,Kentucky,6 Months to < 1 Year,86,22,0.0,2
1886,KYUK-TX1 University of Kentucky Medical Center,Kentucky,1 Year to < 2 Years,134,31,0.0,7
1887,KYUK-TX1 University of Kentucky Medical Center,Kentucky,2 Years to < 3 Years,74,13,0.0,1
1888,KYUK-TX1 University of Kentucky Medical Center,Kentucky,3 Years to < 5 Years,55,14,0.0,1
1889,KYUK-TX1 University of Kentucky Medical Center,Kentucky,5 or More Years,18,4,0.0,0
1898,LACH-TX1 Children's Hospital,Louisiana,All Time,13,0,0.0,0
1899,LACH-TX1 Children's Hospital,Louisiana,< 30 Days,2,0,0.0,0
1900,LACH-TX1 Children's Hospital,Louisiana,30 to < 90 Days,1,0,0.0,0
1901,LACH-TX1 Children's Hospital,Louisiana,90 Days to < 6 Months,4,0,0.0,0
1902,LACH-TX1 Children's Hospital,Louisiana,1 Year to < 2 Years,4,0,0.0,0
1903,LACH-TX1 Children's Hospital,Louisiana,2 Years to < 3 Years,1,0,0.0,0
1904,LACH-TX1 Children's Hospital,Louisiana,3 Years to < 5 Years,1,0,0.0,0
1914,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,All Time,770,70,0.0,58
1915,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,< 30 Days,18,8,0.0,4
1916,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,30 to < 90 Days,39,14,0.0,6
1917,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,90 Days to < 6 Months,82,12,0.0,3
1918,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,6 Months to < 1 Year,87,10,0.0,4
1919,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,1 Year to < 2 Years,140,13,0.0,11
1920,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,2 Years to < 3 Years,134,8,0.0,17
1921,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,3 Years to < 5 Years,160,0,0.0,11
1922,LAOF-TX1 Ochsner Foundation Hospital,Louisiana,5 or More Years,110,5,0.0,2
1933,LATU-TX1 Tulane Medical Center,Louisiana,All Time,596,12,0.0,0
1934,LATU-TX1 Tulane Medical Center,Louisiana,< 30 Days,17,2,0.0,0
1935,LATU-TX1 Tulane Medical Center,Louisiana,30 to < 90 Days,37,1,0.0,0
1936,LATU-TX1 Tulane Medical Center,Louisiana,90 Days to < 6 Months,58,3,0.0,0
1937,LATU-TX1 Tulane Medical Center,Louisiana,6 Months to < 1 Year,62,2,0.0,0
1938,LATU-TX1 Tulane Medical Center,Louisiana,1 Year to < 2 Years,170,3,0.0,0
1939,LATU-TX1 Tulane Medical Center,Louisiana,2 Years to < 3 Years,122,1,0.0,0
1940,LATU-TX1 Tulane Medical Center,Louisiana,3 Years to < 5 Years,79,0,0.0,0
1941,LATU-TX1 Tulane Medical Center,Louisiana,5 or More Years,51,0,0.0,0
1951,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,All Time,357,52,3.0,0
1952,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,< 30 Days,7,0,0.0,0
1953,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,30 to < 90 Days,12,2,1.0,0
1954,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,90 Days to < 6 Months,25,1,0.0,0
1955,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,6 Months to < 1 Year,41,5,1.0,0
1956,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,1 Year to < 2 Years,103,12,1.0,0
1957,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,2 Years to < 3 Years,63,14,0.0,0
1958,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,3 Years to < 5 Years,71,12,0.0,0
1959,LAWK-TX1 Willis-Knighton Medical Center,Louisiana,5 or More Years,35,6,0.0,0
1969,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,All Time,400,122,9.0,0
1970,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,< 30 Days,15,9,0.0,0
1971,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,30 to < 90 Days,15,11,0.0,0
1972,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,90 Days to < 6 Months,37,14,1.0,0
1973,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,6 Months to < 1 Year,45,18,0.0,0
1975,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,1 Year to < 2 Years,92,37,0.0,0
1976,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,2 Years to < 3 Years,76,21,5.0,0
1977,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,3 Years to < 5 Years,82,5,3.0,0
1978,MABI-TX1 Beth Israel Deaconess Medical Center,Massachusetts,5 or More Years,38,7,0.0,0
1988,MABS-TX1 Baystate Medical Center,Massachusetts,All Time,173,0,0.0,0
1989,MABS-TX1 Baystate Medical Center,Massachusetts,< 30 Days,9,0,0.0,0
1990,MABS-TX1 Baystate Medical Center,Massachusetts,30 to < 90 Days,7,0,0.0,0
1991,MABS-TX1 Baystate Medical Center,Massachusetts,90 Days to < 6 Months,17,0,0.0,0
1992,MABS-TX1 Baystate Medical Center,Massachusetts,6 Months to < 1 Year,8,0,0.0,0
1993,MABS-TX1 Baystate Medical Center,Massachusetts,1 Year to < 2 Years,51,0,0.0,0
1994,MABS-TX1 Baystate Medical Center,Massachusetts,2 Years to < 3 Years,41,0,0.0,0
1995,MABS-TX1 Baystate Medical Center,Massachusetts,3 Years to < 5 Years,33,0,0.0,0
1996,MABS-TX1 Baystate Medical Center,Massachusetts,5 or More Years,7,0,0.0,0
2006,MABU-TX1 Boston Medical Center,Massachusetts,All Time,294,0,0.0,0
2007,MABU-TX1 Boston Medical Center,Massachusetts,< 30 Days,11,0,0.0,0
2008,MABU-TX1 Boston Medical Center,Massachusetts,30 to < 90 Days,19,0,0.0,0
2009,MABU-TX1 Boston Medical Center,Massachusetts,90 Days to < 6 Months,22,0,0.0,0
2010,MABU-TX1 Boston Medical Center,Massachusetts,6 Months to < 1 Year,27,0,0.0,0
2011,MABU-TX1 Boston Medical Center,Massachusetts,1 Year to < 2 Years,63,0,0.0,0
2012,MABU-TX1 Boston Medical Center,Massachusetts,2 Years to < 3 Years,62,0,0.0,0
2013,MABU-TX1 Boston Medical Center,Massachusetts,3 Years to < 5 Years,68,0,0.0,0
2014,MABU-TX1 Boston Medical Center,Massachusetts,5 or More Years,22,0,0.0,0
2025,MACH-TX1 Boston Children's Hospital,Massachusetts,All Time,23,12,1.0,26
2026,MACH-TX1 Boston Children's Hospital,Massachusetts,< 30 Days,2,0,0.0,1
2027,MACH-TX1 Boston Children's Hospital,Massachusetts,30 to < 90 Days,3,1,0.0,2
2028,MACH-TX1 Boston Children's Hospital,Massachusetts,90 Days to < 6 Months,4,2,0.0,4
2029,MACH-TX1 Boston Children's Hospital,Massachusetts,6 Months to < 1 Year,1,2,0.0,3
2030,MACH-TX1 Boston Children's Hospital,Massachusetts,1 Year to < 2 Years,7,3,0.0,5
2031,MACH-TX1 Boston Children's Hospital,Massachusetts,2 Years to < 3 Years,3,0,0.0,4
2032,MACH-TX1 Boston Children's Hospital,Massachusetts,3 Years to < 5 Years,1,2,0.0,3
2033,MACH-TX1 Boston Children's Hospital,Massachusetts,5 or More Years,2,2,1.0,4
2043,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,All Time,207,87,0.0,0
2044,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,< 30 Days,10,7,0.0,0
2045,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,30 to < 90 Days,12,7,0.0,0
2046,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,90 Days to < 6 Months,30,16,0.0,0
2047,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,6 Months to < 1 Year,23,10,0.0,0
2048,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,1 Year to < 2 Years,42,20,0.0,0
2049,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,2 Years to < 3 Years,37,10,0.0,0
2050,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,3 Years to < 5 Years,27,11,0.0,0
2051,MALC-TX1 Lahey Clinic Medical Center,Massachusetts,5 or More Years,26,6,0.0,0
2062,MAMG-TX1 Massachusetts General Hospital,Massachusetts,All Time,1184,371,14.0,22
2063,MAMG-TX1 Massachusetts General Hospital,Massachusetts,< 30 Days,32,26,0.0,1
2064,MAMG-TX1 Massachusetts General Hospital,Massachusetts,30 to < 90 Days,55,28,1.0,4
2065,MAMG-TX1 Massachusetts General Hospital,Massachusetts,90 Days to < 6 Months,93,39,0.0,3
2066,MAMG-TX1 Massachusetts General Hospital,Massachusetts,6 Months to < 1 Year,115,64,2.0,0
2067,MAMG-TX1 Massachusetts General Hospital,Massachusetts,1 Year to < 2 Years,282,88,3.0,4
2068,MAMG-TX1 Massachusetts General Hospital,Massachusetts,2 Years to < 3 Years,214,42,3.0,3
2069,MAMG-TX1 Massachusetts General Hospital,Massachusetts,3 Years to < 5 Years,278,47,3.0,7
2070,MAMG-TX1 Massachusetts General Hospital,Massachusetts,5 or More Years,115,37,2.0,0
2080,MANM-TX1 Tufts Medical Center,Massachusetts,All Time,213,0,0.0,103
2081,MANM-TX1 Tufts Medical Center,Massachusetts,< 30 Days,9,0,0.0,5
2082,MANM-TX1 Tufts Medical Center,Massachusetts,30 to < 90 Days,7,0,0.0,9
2083,MANM-TX1 Tufts Medical Center,Massachusetts,90 Days to < 6 Months,30,0,0.0,13
2084,MANM-TX1 Tufts Medical Center,Massachusetts,6 Months to < 1 Year,13,0,0.0,10
2085,MANM-TX1 Tufts Medical Center,Massachusetts,1 Year to < 2 Years,47,0,0.0,13
2086,MANM-TX1 Tufts Medical Center,Massachusetts,2 Years to < 3 Years,34,0,0.0,18
2087,MANM-TX1 Tufts Medical Center,Massachusetts,3 Years to < 5 Years,44,0,0.0,16
2088,MANM-TX1 Tufts Medical Center,Massachusetts,5 or More Years,29,0,0.0,19
2098,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,All Time,388,0,5.0,33
2099,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,< 30 Days,19,0,0.0,4
2101,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,30 to < 90 Days,41,0,0.0,0
2102,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,90 Days to < 6 Months,33,0,0.0,4
2103,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,6 Months to < 1 Year,33,0,0.0,2
2104,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,1 Year to < 2 Years,79,0,3.0,13
2105,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,2 Years to < 3 Years,65,0,2.0,2
2106,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,3 Years to < 5 Years,91,0,0.0,5
2107,MAPB-TX1 Brigham and Women's Hospital,Massachusetts,5 or More Years,27,0,0.0,3
2117,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,All Time,477,367,13.0,0
2118,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,< 30 Days,13,8,1.0,0
2119,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,30 to < 90 Days,30,9,1.0,0
2120,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,90 Days to < 6 Months,43,30,1.0,0
2121,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,6 Months to < 1 Year,51,47,1.0,0
2122,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,1 Year to < 2 Years,121,71,4.0,0
2123,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,2 Years to < 3 Years,70,54,3.0,0
2124,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,3 Years to < 5 Years,75,66,2.0,0
2125,MAUM-TX1 UMass Memorial Medical Center,Massachusetts,5 or More Years,74,82,0.0,0
2135,MDJH-TX1 Johns Hopkins Hospital,Maryland,All Time,1345,359,16.0,38
2136,MDJH-TX1 Johns Hopkins Hospital,Maryland,< 30 Days,45,9,2.0,2
2137,MDJH-TX1 Johns Hopkins Hospital,Maryland,30 to < 90 Days,59,13,1.0,2
2138,MDJH-TX1 Johns Hopkins Hospital,Maryland,90 Days to < 6 Months,90,27,4.0,2
2139,MDJH-TX1 Johns Hopkins Hospital,Maryland,6 Months to < 1 Year,150,43,2.0,3
2140,MDJH-TX1 Johns Hopkins Hospital,Maryland,1 Year to < 2 Years,289,58,3.0,3
